web-scraper-order,web-scraper-start-url,vol,vol-href,title,title-href,abs
"1641093525-371","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 3: September 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/556","The relationship between the quality of school life and the school burnout","http://ijere.iaescore.com/index.php/IJERE/article/view/20686","School burnout has been a research subject during recent years and is a wide case among students is associated with many factors. Among these factors, school-related concepts are remarkable. Within this study, it is aimed to investigate the relationship between school quality, school burnout and school burnout. The participant group of the study consists of a total of 364 secondary school students, 181 girls and 183 boys, whose ages are in the range of 10-15, attending various secondary schools. This sampling was determined by the maximum diversity sampling method. The data were collected with the school quality of life and school burnout scale. In the analysis of the data, correlation and structural equation model analysis were administrated. It was concluded that there is a negative relationship between school quality of life and school burnout, and that school quality of life is a negative predictor of school burnout. The results were discussed through the literature review and suggestions were made for researchers and practitioners."
"1641093513-366","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 3: September 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/556","A new learning model of software engineering in vocational education","http://ijere.iaescore.com/index.php/IJERE/article/view/20482","This research focused on the development a new learning model in Vocational Education to answer the challenges of this Industrial Revolution 4.0 era. The problem identified was the lack of learning outcomes, especially subjects oriented to software engineering for information systems students in particular and other computer science seen in the phenomenon of the inability of students to produce intelligent systems. From a series of validity, practicality, and effectiveness test results, use content validity with Aiken'V and construct validity with CFA (Confirmatory Factor Analysis) states that the model resulting from this study is stated, valid, practical and effective. This study also produced a new learning model with five syntaxes, namely (1) Define Problem and Design a Plan Project, (2) Interaction with Support System, (3) Create a Project, (4) Keep control and Monitoring Project, (4) Yield and Assessment of Project. And based on the test of the validity of the syntax of this model stated goodness-of-fit or valid."
"1641093432-335","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 2: June 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/555","Industry 4.0 competencies among lecturers of higher learning institution in Malaysia","http://ijere.iaescore.com/index.php/IJERE/article/view/20520","Industry 4.0 is a new breed from the past industry revolution. The revolution implies an inevitable impact on professional sectors, including education field. Higher Learning Institution (HLI) is viewed as the platform for the development of Industry 4.0 competencies. However, research related to Industry 4.0 competencies among educators or academicians is scarce. Hence, this study aims to assess the level of Industry 4.0 competencies among lecturers in one of higher learning institution in Malaysia, as well as to identify Industry 4.0 competencies that required further enhancement. Five Industry 4.0 competencies identified from literature review, which are Information and Communication Technologies (ICT), Organizational Learning, Innovative Management, Environment and Continuous Improvement competencies. The importance level and implementation level perceived by the lecturers across the five competencies are assessed via questionnaire which responded by 132 lecturers from a higher learning institution in Malaysia. Data collected is analyzed via descriptive analysis to assess the importance and implementation levels perceived by the respondent. In addition, an improvement opportunity index, namely Focus Index is calculated for each competency. Finding from the study reveals that all the four Industry 4.0 competencies are perceived by respondents as important, however implemented at moderate level. Analysis result of Focus Index also suggests that competencies in term of Organizational Learning and ICT are “over focus”, while Environment competency is viewed as “under focus” which required further enhancement."
"1641094232-631","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 11, No 1: March 2022","http://ijere.iaescore.com/index.php/IJERE/issue/view/563","STEM literacy in growing vocational school student HOTS in science learning: A meta-analysis","http://ijere.iaescore.com/index.php/IJERE/article/view/21647","The low higher order thinking skills (HOTS) of vocational students is shown from the approaches and models used in learning that are not specific, learning activities are limited to methods that have not been able to grow HOTS. One of the approaches offered in science, technology, engineering, and mathematics (STEM). The research objective was to analyze STEM in growing HOTS through literature studies. The data collection method used a STEM systematic review from 2016-2020 based on the indexed findings of Google Scholar and Scopus (Database: Elsevier, Scopus, and Science Direct). Qualitative descriptive data analysis technique was employed on inductive deductive patterns. Based on data analysis, there are findings of 18 Google Scholar indexed articles and 20 Scopus indexed articles according to the inclusion criteria. The results showed that: i) STEM integration patterns in growing HOTS obtained six STEM literacy patterns of 28% on Google Scholar and four STEM integration patterns by 65% in Scopus; ii) The trend of STEM and HOTS research from 2016-2020 has increased the most in 2020 by 56% on Google Scholar and 40% on Scopus. Most of the methods used are research and development (R&D) with data analysis techniques in the form of t-test on Google Scholar data and survey methods with descriptive analysis on Scopus data. The difference in the publication trend on the integration pattern, the number of samples used is greater in the Scopus data. The method used is more dominant in the survey than R&D, but whatever the research design in STEM literacy is, in principle, it can empower HOTS to increase learning activities."
"1641092855-132","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 6, No 3: September 2017","http://ijere.iaescore.com/index.php/IJERE/issue/view/410","Oral Exam System at Teacher Appointments in Turkey","http://ijere.iaescore.com/index.php/IJERE/article/view/5951","Oral Exam system is applied all over the world, is recently applied in Turkey. After teacher candidates pass the PESE (General Knowledge, General Skills, Educational Sciences, and TPFK), they receive Oral Exam, and they are appointed with the points they receive from this stage or they are considered as unsuccessful. In other words, while Oral Exams are used as the complementary elements of written and similar other exams in the world, they are used as the sole determinants of appointing teachers in Turkey, which is beyond being complementary. As a matter of fact, in countries where Oral Exams are applied, it is observed that this system is used sometimes for preferential purposes, and the influence of Oral Exams on appointment point is kept low. Another reason for the criticisms of the educational syndicates that are active in Turkey on Oral Exam application is the suspicion of its activating the “preferential treatment” mechanism, because evaluations have subjectivity in them; and the evaluations of the members of the commission about the answers of the candidates are not based on adequate and concrete data"
"1641092702-79","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 5, No 2: June 2016","http://ijere.iaescore.com/index.php/IJERE/issue/view/232","The Relationship between Religiosity and Academic Performance amongst Accounting Students","http://ijere.iaescore.com/index.php/IJERE/article/view/4535","In this paper, the association between religiosity and academic performance among accounting students enrolled at the International Islamic University Malaysia (IIUM) is explored, as recent research demonstrates a positive association between religiosity and academic success. Students' religiosity was measured using proxies from an Islamic perspective, whilst their academic performances were measured using their Cumulative Grade Point Averages (CGPA). The statistical analysis revealed no significant correlation between religiosity and academic performance among accounting students at IIUM. However, a closer examination of the results revealed that students at IIUM possessed high levels of religiosity as well as high levels of academic performances."
"1641092767-101","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 5, No 4: December 2016","http://ijere.iaescore.com/index.php/IJERE/issue/view/321","Validity and Realibility of Chemistry Systemic Multiple Choices Questions (CSMCQs)","http://ijere.iaescore.com/index.php/IJERE/article/view/5958","Nowdays, Rasch model analysis is used widely in social research, moreover in educational research. In this research, Rasch model is used to determine the validation and the reliability of systemic multiple choices question in chemistry teaching and learning. There were 30 multiple choices question with systemic approach for high school student class XI. In this research, a 164 student as the subject of the research. The data was collecting during March – April 2015. The data was analysis using Winsteps application with Rasch model. The reseach shows that 29 question of 30 questions was valid through Rasch model analysis. The reliability of systemic multiple choices question was 0.93, which is very good chategory."
"1641094258-640","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 11, No 2: June 2022","http://ijere.iaescore.com/index.php/IJERE/issue/view/564","Optimization of Russian primary school graduates’ self-esteem in the personality-developing learning environment","http://ijere.iaescore.com/index.php/IJERE/article/view/21996","The article reveals the capacity of the designed personality-developing learning environment for optimizing the establishment of self-esteem of the fourth-grade pupils - Russian primary school graduates. Negative manifestations in the development of self-esteem of children in the fourth year of schooling along with insufficient knowledge of the environmental approach to the formation of self-esteem of fourth-grade pupils, stated by Russian authors, make the material of the work relevant.The theoretical basis of the article is psychological and pedagogical research of Russian scientists in the field of the educational environment and self-esteem of schoolchildren. The author provides the content of an empirical research study, which 213 fourth-grade schoolchildren took part in, reveals the embodied conditions and opportunities aimed at improvement of fourth-grade pupils’ self-esteem in each of the components of the experimental educational environment. According to the findings of the study, it has been proven that the personality-developing educational environment, which the experimental group was immersed in, had a positive and statistically reliable effect on the level of self-esteem of the fourth-grade schoolchildren, as well as on the level of their aspirations. Research materials can be used in educational practice to optimize the personal growth of students aged 10-11 years."
"1641094129-595","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 11, No 1: March 2022","http://ijere.iaescore.com/index.php/IJERE/issue/view/563","A Task Model for Supporting Virtual Laboratory based on Inquiry Skills, Social and Scientific Communication","http://ijere.iaescore.com/index.php/IJERE/article/view/21737","Comprehensive monitoring in virtual laboratory learning needs a task model. This model was design based on inquiry skills, social and scientific communication of prospective physics teachers. This research was research and development (R&D) using a preliminary study (literature studies, field surveys, and preparation of the initial product) and development of the model (within limited testing). Respondents were 54 prospective physics teachers and five physics lecturers from several universities in Indonesia. The analysis was done by descriptive qualitative, and quantitative. There are two essential parts of the task model. The first part consists of six inquiry steps, which describe the interactions between students with their virtual experiments. The second part consists of three inquiry steps that analyze how students communicate their virtual experiments through verbal, picture, and diagrammatic representations. Based on these findings, the task model's design is essential to develop inquiry skills, social and scientific communication for prospective physics teachers. The researcher can use this task model in the next step of R&D."
"1641093323-295","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 1: March 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/550","Accreditation document tracking system using Scrum approach","http://ijere.iaescore.com/index.php/IJERE/article/view/20418","Document tracking which involves recording and monitoring the movement of documents has been a time-consuming task for staff. Dislocation and overlooking of the timeline have always been the problems in document control. An effective tool such as a web-based system is the easiest way to be implemented in the workplace. The Accreditation Document Tracking System (ADTS) is designed to monitor the movement and timeline of the document from a department to another department throughout the accreditation process efficiently. The main objective of this project is to develop a system that can track the location of a document and its status of submission at every stage. This advantageous system is developed through scrum approach, which is the most widespread agile methodology used in the industry. It offers flexibility and simplicity to the system developer in upgrading the system. Furthermore, the Unified Modelling Language (UML) is used to describe the interaction between user and proposed system. UML consists of three visual diagrams: (i) Use case diagram, (ii) activity diagram, and (iii) sequence diagram. By following each stage of the diagrams, the proposed system is able to be developed in order to achieve the objective of this project within within the university as well Malaysian Qualification Agency (MQA) and Ministry of Higher Education (MOHE)."
"1641094370-682","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 11, No 2: June 2022","http://ijere.iaescore.com/index.php/IJERE/issue/view/564","Impact of COVID-19 Pandemic on Education: Moving Towards e-Learning Paradigm","http://ijere.iaescore.com/index.php/IJERE/article/view/21945","Background of the study: Besides the economic impact and loss of jobs and revenues, COVID-19 has had a great impact on the education sector, with several learning institutions across the world remaining shut down for months. The overall objective: To evaluate the impact of COVID-19 pandemic on education. In order to achieve this aim, this study has two main questions to investigate: How has the COVID-19 pandemic impacted on education and how can the effect of COVID-19 pandemic on education be mitigated. The methodology:  The study employed a cross-sectional study design in which data was collected using qualitative methods from various education stakeholders as well as secondary literature. The findings and conclusion: Result from both the respondents and the literature review shows that learning has severely been affected by the strict protocols adopted by various governments in response to COVID-19 pandemic. The major responses to COVID-19 like closing up schools have left most learners hopeless as they cannot afford the recommended online learning. The major responses to COVID-19 at the few operating schools include: putting masks, hand sanitization, regular hand washing, constant temperature check for both staff and learners, and lastly change on the sitting arrangements as students are required to maintain a social distance of at least 1.5 meters. Moreover, closure of schools has also had a severe impact on the co-curricular activities that are always undertaken within the academic institutions like athletics, drama and ball games.  The study recommends that measures should be put in place by various governments to ensure that all learners have access to equitable, quality and inclusive forms of education during the present COVID-19 pandemic. The study has ended by recommending future further study."
"1641093188-248","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 8, No 3: September 2019","http://ijere.iaescore.com/index.php/IJERE/issue/view/552","Using problem-based learning in college: Mastery concepts subject statistical sesearch and motivation","http://ijere.iaescore.com/index.php/IJERE/article/view/20243","Based on the problems obtained, the ability of students to master the subjects of research statistics is still categorized as low until this causes them to be weak in completing their final assignments. Therefore, the researchers investigated how students' mastery of the research statistical concepts and their learning motivation using learning innovations, one of which was Problem Based Learning (PBL). This research was conducted at the Islamic Education School (PGMI) Islamic State Teacher Education Institute (IAIN) Bengkulu where the sample used was semester 8th students. The research method was quantitative with a sample of 145. The research instrument was using a motivation questionnaire and multiple choice questions. The results will then be analyzed using simple regression analysis which will be presented in the form of a data table."
"1641093671-424","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 10, No 1: March 2021","http://ijere.iaescore.com/index.php/IJERE/issue/view/558","The use of reflective practice towards achieving effective English language teaching at primary schools","http://ijere.iaescore.com/index.php/IJERE/article/view/20956","The purpose of this study was to explore the use of reflective practice by English language teachers in providing effective English language teaching in primary school classrooms. This qualitative case study involving six in-service English language teachers who were selected based on purposive sampling. The data in this study were collected using teachers’ reflection logs and a series of semi-structured interviews with the English language teachers. Thematic analysis was used to identify emerging themes based on the codes gathered from the interviews and teachers’ reflections logs. The results showed that the English language teachers used reflective practice erstwhile in preparing and providing effective English language teaching for the students. They reviewed what has been accomplished and identify constructive guidelines to follow to succeed in the future teaching. They have also been doing variations of changes in teaching based on reflecting on the quality of instruction, levels of instruction, using incentive to motivate the students and managing time equally in teaching and learning process to help the children in learning English language. Since there is no clear guideline for teachers who use reflective practice in their classes, this study provided some insights on the preparations and the use of reflective practice as part of their teaching and learning process."
"1641093460-345","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 3: September 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/556","Types of mathematical tasks used in secondary classroom instruction","http://ijere.iaescore.com/index.php/IJERE/article/view/20617","This study examined the quality and types of mathematical tasks used for classroom instruction in an upper secondary school – gymnasium. All the mathematical tasks presented in nine different school classrooms during the first semester of the school year 2018/2019 were analysed against a 5D analytical framework. The dimensions of the individual task analysis were contextual features; the answer forms required; forms of presentation; types of required mathematical activity and cognitive demands involved. Performed analysis gived perspective on the learning opportunities offered in classroom instruction for building mathematical competencies specified in the current state education curriculum. The results indicate that the selection of tasks was not in accordance with the curriculum requirements. Mostly, teachers used close-ended, non-applicative, lower-level cognitive tasks presented in symbolic form, promoting operations and calculations as a central activity. These types of tasks are usually associated with knowledge and skills of lower orders. In this case, classroom instruction had low potential and very little room left to build a significant portion of competencies and learning outcomes of higher orders."
"1641093288-285","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 1: March 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/550","Triggering preservice teachers’ writing skills through genre-based instructional model viewed from creativity","http://ijere.iaescore.com/index.php/IJERE/article/view/20395","This study was aimed at finding out the effectiveness of genre-based instructional model in the teaching of writing skills viewed from students’ creativity. This study employed a quasi-experimental research design. The samples consisted of two classes in which one class was treated by using genre-based instructional (GBI) model and the second class was subjected to the process-based instruction (PBI) model. The writing test and creativity test were functioned as research instruments to collect the data in both classes. The data were analyzed by using the multifactor analysis of variance (ANOVA). The research finding informed that the GBI model was more effective than the PBI model. It was proved with the value of sig. (0.008) was lower than sig. level 0.05. Thus, students having high creativity have better writing achievement than those who have low creativity and it was proved with the value of sign (0.000) was lower than sig. level 0.05. It means that the effect of instructional model and writing skills rests on the level of students’ creativity. The finding indicates that there is significant interaction between instructional model being applied and creativity in the teaching of writing skills."
"1641093974-537","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 10, No 3: September 2021","http://ijere.iaescore.com/index.php/IJERE/issue/view/561","Building bridges that change state Islamic universities in Indonesia toward international standard","http://ijere.iaescore.com/index.php/IJERE/article/view/21402","The learning organization is a strategic process for every university as a public service institution to improve its performance. Learning organizations have an essential role in linking past experiences to future improvements in changing State Islamic Universities in Indonesia to achieve international standards. This study aimed to describe the State Islamic University's learning organization profile in Indonesia and reveal its readiness towards international standards. This study used a survey approach, collecting data through closed questionnaires and open-ended questions involving 300 respondents consisting of lecturers and employees of the State Islamic University of Sunan Kalijaga Yogyakarta. The data analysis technique used descriptive statistics with a benchmark scale and explanations. The results showed that the average score on all learning organization variables was low, below the benchmark scale. This result was in line with lecturers and employees' perception that most of them (68%) expressed pessimism about universities' readiness to achieve international standards. In conclusion, the State Islamic University of Sunan Kalijaga has not fully become a learning organization as a bridge of change towards an international standard."
"1641093130-228","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 8, No 2: June 2019","http://ijere.iaescore.com/index.php/IJERE/issue/view/527","Increasing ecoliteracy and student creativity in waste utilization by usingmodels in project based learning social studies learning","http://ijere.iaescore.com/index.php/IJERE/article/view/18901","This study aims to determine the increase in ecoliteracy and creativity in waste utilization by using a project-based-learning (PBL) model in social studies learning. This research is a classroom action research (Action Research). The design of the action model used is the Kemmis and Mc model. Taggart. This research was conducted in the fifth grade (V) of Primary Schools. Data collection techniques used in the study were observation sheet, interview, documentation, and field notes instruments. The results of this study showed that there was an increase in ecolithicacy ability.Based on the results of the pretest conducted on December 17, 2018, it can be seen that students in Telajung 02 Public Elementary School have not had the ability of Ecoliteracy and students' creativity in utilizing waste. Of the 32 students, the highest score that can be obtained is only 40 from a maximum score of 100. While the lowest value obtained is 20 from a maximum score of 100. In the first cycle, around 63% of students classified as having high ecoliteration ability, 9% classified as having the low ecoliteration ability and 28% classified as having the very low ecoliteration ability. In cycle II, there was an increase, around 90% of students classified as having high ecoliteration ability, 6% classified as having the low ecoliteration ability and 4% classified as having low ecoliteration ability. The average value of ecoliteration ability in the first cycle was 87.6 and the second cycle increased to 78.2. In addition, students become more active in the learning process and more courageous in expressing their opinions. This shows that the ecoliteracy and creativity of students can be improved through the project-based-learning model."
"1641092527-17","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 3, No 2: June 2014","http://ijere.iaescore.com/index.php/IJERE/issue/view/224","Design of Learning Model of Logic and Algorithms Based on APOS Theory","http://ijere.iaescore.com/index.php/IJERE/article/view/4468","This research questions are ‘how do the characteristics of learning model of logic & algorithm according to APOS theory’ and ‘whether or not these learning model can improve students learning outcomes‘.This research was conducted by exploration, and quantitative approach. Exploration used in constructing theory about the characteristic of the learning model of logic and algorithms based on APOS theory. The hypothesis tested was did the mean value of class by using learning model based on APOS theory greater than other class. The results showed that characteristics of learning model used APOS theory had achievement map of competency be classified into four levels. They are action; process; object; and scheme. Action is ability to understand concept by using external stimulus. Process is ability to think about the same action based on specific input and output. Object is ability to think about transformation on action and process, so that they can associate between action and process, process and process itself based on a specific output. Scheme is ability to construct relationship of action, process, object, and other concept to solve the problem in making business document. It is proven that mean value is greater than the other. Especially in lesson plan of action and process.DOI: http://dx.doi.org/10.11591/ijere.v3i2.5743"
